iter	Passed	Remaining
0	151	150856
1	159	79704
2	167	55577
3	176	43933
4	185	36839
5	193	32041
6	202	28704
7	210	26072
8	218	24056
9	222	22043
10	227	20429
11	231	19041
12	234	17768
13	235	16619
14	237	15616
15	239	14747
16	241	13966
17	243	13268
18	244	12640
19	246	12068
20	247	11552
21	249	11082
22	250	10651
23	252	10257
24	253	9899
25	255	9565
26	256	9252
27	258	8962
28	259	8696
29	261	8441
30	262	8196
31	263	7966
32	264	7750
33	265	7548
34	266	7357
35	268	7182
36	269	7012
37	270	6849
38	271	6693
39	273	6557
40	274	6424
41	276	6298
42	277	6172
43	278	6052
44	279	5937
45	280	5826
46	282	5725
47	283	5623
48	284	5524
49	285	5429
50	286	5339
51	288	5257
52	289	5181
53	291	5101
54	292	5023
55	293	4948
56	294	4876
57	296	4811
58	297	4743
59	298	4678
60	299	4613
61	300	4550
62	302	4492
63	303	4438
64	305	4390
65	306	4336
66	307	4284
67	308	4225
68	309	4178
69	310	4130
70	312	4084
71	313	4038
72	314	3993
73	315	3949
74	317	3910
75	318	3874
76	320	3836
77	321	3796
78	322	3757
79	323	3725
80	326	3699
81	327	3666
82	328	3632
83	329	3598
84	330	3560
85	332	3530
86	333	3495
87	334	3467
88	335	3437
89	337	3410
90	338	3381
91	339	3352
92	341	3325
93	342	3299
94	343	3272
95	344	3246
96	346	3222
97	347	3200
98	349	3179
99	350	3157
100	352	3133
101	352	3104
102	353	3081
103	354	3058
104	356	3036
105	357	3014
106	358	2992
107	359	2971
108	361	2953
109	362	2935
110	364	2919
111	366	2902
112	367	2885
113	369	2869
114	370	2851
115	372	2835
116	373	2819
117	375	2804
118	376	2785
119	378	2778
120	380	2763
121	381	2746
122	382	2725
123	383	2710
124	384	2693
125	386	2678
126	387	2664
127	388	2647
128	389	2632
129	391	2621
130	393	2612
131	394	2597
132	396	2582
133	397	2567
134	398	2552
135	399	2537
136	400	2522
137	401	2507
138	402	2494
139	403	2480
140	405	2467
141	406	2457
142	408	2447
143	409	2434
144	410	2422
145	411	2409
146	413	2396
147	414	2384
148	415	2372
149	416	2360
150	417	2348
151	418	2336
152	420	2326
153	421	2316
154	423	2307
155	424	2296
156	425	2285
157	426	2274
158	428	2263
159	429	2253
160	430	2242
161	431	2232
162	432	2221
163	433	2211
164	435	2205
165	437	2199
166	438	2189
167	440	2179
168	441	2169
169	442	2159
170	443	2150
171	444	2140
172	445	2131
173	447	2122
174	448	2112
175	451	2111
176	454	2111
177	455	2103
178	457	2096
179	459	2092
180	460	2083
