iter	Passed	Remaining
0	149	149598
1	163	81378
2	166	55435
3	171	42658
4	175	34867
5	177	29397
6	179	25402
7	180	22383
8	181	20032
9	183	18160
10	186	16772
11	188	15505
12	189	14379
13	190	13421
14	191	12583
15	192	11852
16	193	11197
17	194	10626
18	195	10105
19	198	9750
20	201	9380
21	202	8991
22	203	8633
23	204	8307
24	205	8003
25	206	7727
26	207	7470
27	208	7231
28	209	7007
29	210	6799
30	213	6658
31	215	6518
32	216	6354
33	217	6188
34	218	6030
35	219	5886
36	220	5747
37	221	5614
38	222	5486
39	223	5365
40	224	5250
41	227	5200
42	230	5136
43	231	5035
44	232	4939
45	233	4848
46	234	4760
47	235	4675
48	236	4594
49	237	4517
50	238	4441
51	241	4411
52	245	4380
53	246	4315
54	247	4249
55	248	4185
56	249	4122
57	250	4063
58	251	4006
59	252	3950
60	253	3900
61	257	3902
62	259	3862
63	260	3816
64	261	3768
65	262	3721
66	264	3676
67	265	3635
68	266	3591
69	267	3549
70	268	3507
71	271	3501
72	274	3480
73	275	3443
74	276	3405
75	277	3369
76	278	3333
77	278	3297
78	279	3263
79	280	3229
80	281	3196
81	282	3164
82	283	3128
83	286	3125
84	288	3102
85	289	3073
86	290	3044
87	291	3016
88	291	2988
89	292	2961
90	293	2934
91	294	2908
92	295	2885
93	299	2888
94	301	2874
95	302	2850
96	303	2826
97	304	2802
98	305	2779
99	306	2757
100	307	2735
101	308	2713
102	309	2692
103	310	2673
104	314	2678
105	316	2669
106	317	2653
107	318	2633
108	319	2613
109	320	2594
110	321	2576
111	322	2558
112	323	2542
113	324	2524
114	325	2507
115	328	2502
116	329	2490
117	330	2473
118	331	2457
119	332	2440
120	333	2424
121	334	2407
122	335	2393
123	336	2378
124	337	2363
125	338	2348
126	339	2335
127	343	2338
128	345	2330
129	346	2316
130	347	2303
131	348	2290
132	349	2279
133	350	2266
134	351	2253
135	352	2239
136	353	2226
137	355	2221
138	358	2217
139	359	2210
140	361	2199
141	361	2185
142	362	2174
143	363	2163
144	365	2152
145	366	2140
146	366	2129
147	367	2117
148	371	2119
149	373	2115
150	374	2105
151	375	2094
152	377	2087
153	378	2081
154	380	2074
155	381	2066
156	382	2056
157	386	2060
158	389	2057
159	389	2047
160	390	2035
161	391	2025
162	392	2015
163	393	2005
164	394	1996
165	395	1986
166	396	1976
167	397	1967
168	398	1958
169	401	1959
170	403	1953
171	404	1945
172	405	1936
173	406	1927
174	407	1919
175	408	1910
176	408	1901
177	409	1892
178	410	1884
179	414	1888
180	416	1885
181	417	1877
182	418	1869
183	419	1861
184	420	1853
185	421	1844
186	422	1836
187	423	1828
188	424	1820
189	425	1812
190	428	1815
191	431	1815
192	432	1808
193	433	1800
194	434	1792
195	435	1785
196	436	1777
197	437	1770
198	437	1762
199	438	1755
200	439	1748
201	443	1752
202	448	1760
203	449	1753
204	450	1747
205	451	1740
206	452	1733
207	453	1728
208	454	1721
209	455	1714
210	459	1716
211	461	1714
212	462	1708
213	463	1701
214	464	1695
215	465	1688
216	466	1682
217	467	1675
218	468	1669
219	468	1662
220	469	1656
221	470	1649
222	473	1650
223	475	1646
224	476	1641
225	477	1636
226	478	1629
227	479	1623
228	480	1617
229	481	1611
230	482	1606
231	483	1600
232	486	1602
233	489	1601
234	490	1595
235	491	1590
236	492	1584
237	493	1578
238	493	1572
239	494	1567
240	495	1561
241	496	1555
242	497	1550
243	502	1556
244	505	1557
245	506	1552
246	507	1547
247	508	1542
248	509	1538
249	511	1535
250	517	1543
251	519	1541
252	520	1537
253	521	1532
254	523	1530
255	527	1532
256	531	1537
257	535	1539
258	536	1536
